Jurisdiction,station number,dates,site_name,water table depth
King William County,373235076482306,09/10 16:45 EDT,56J 45 SOW 247E,56.58
King William County,373235076482307,09/10 16:45 EDT,56J 47 SOW 247F,12.57
King William County,373523076523401,09/10 17:15 EDT,55J 15 SOW 248A,208.22
King William County,373523076523402,09/10 17:15 EDT,55J 16 SOW 248B,205.09
King William County,373523076523403,09/10 17:15 EDT,55J 17 SOW 248C,207.20
King William County,373523076523404,09/10 17:15 EDT,55J 18 SOW 248D,208.22
King William County,373523076523405,09/10 17:15 EDT,55J 19 SOW 248E,101.40
King William County,374441077121802,09/10 17:00 EDT,53K 25 SOW 235A,189.45
King William County,374441077121803,09/10 17:00 EDT,53K 26 SOW 235B,200.47
King William County,374441077121804,09/10 17:00 EDT,53K 27 SOW 235C,189.61
King William County,374441077121805,09/10 17:00 EDT,53K 28 SOW 235D,60.53
Loudoun County,390623077314201,09/10 16:45 EDT,50W  4C,35.96
Loudoun County,391542077423801,09/10 16:45 EDT,49Y  1 SOW 022,60.17
Montgomery County,370812080261901,09/10 17:15 EDT,27F  2 SOW 019,6.53
New Kent County,372535076581301,09/10 16:45 EDT,55H 23 SOW 233A,114.92
New Kent County,372535076581302,09/10 16:45 EDT,55H 24 SOW 233B,111.33
New Kent County,372535076581303,09/10 16:45 EDT,55H 25 SOW 233C,111.30
New Kent County,372535076581304,09/10 16:45 EDT,55H 26 SOW 233D,109.97
New Kent County,372535076581305,09/10 16:45 EDT,55H 27 SOW 233E,32.33
New Kent County,372535076581306,09/10 16:45 EDT,55H 28 SOW 233F,11.70
New Kent County,372934076514601,09/10 17:45 EDT,56H 63 SOW 249,118.18
New Kent County,373054076584501,09/10 17:00 EDT,55J 20 SOW 228,96.99
New Kent County,373316077125202,09/10 17:30 EDT,53J 24 SOW 234A,213.40
New Kent County,373316077125203,09/10 17:30 EDT,53J 25 SOW 234B,212.52
Northampton County,371543076003401,09/10 17:30 EDT,62G 15 SOW 121,10.83
Northampton County,372705075555903,09/10 17:15 EDT,63H  6 SOW 103A,6.92
Northumberland County,375006076183101,09/10 17:15 EDT,60L 37 SOW 230,65.89
Nottoway County,371122078114401,09/10 17:00 EDT,45F  3 SOW 219,16.84
Orange County,381002078094201,09/10 17:15 EDT,45P  1 SOW 030,31.33
Patrick County,364732080070301,09/10 17:45 EDT,30C  1 SOW 010,18.52
Prince William County,383423077245901,09/10 17:45 EDT,51S  7,11.50
Prince William County,385607077381101,09/10 17:30 EDT,49V  1,11.12
Rockbridge County,373758079271601,09/10 17:15 EDT,35K  1 SOW 063,25.70
Rockingham County,382150078424001,09/10 17:45 EDT,41Q  1,80.22
Scott County,364022082450201,09/10 17:45 EDT,08B  1 SOW 241,77.76
Shenandoah County,384821078472301,09/10 17:00 EDT,40U  3 SOW 218,14.40
Southampton County,363906077000301,09/10 17:00 EDT,54B 34 SOW 251C,110.05
Southampton County,363906077000302,09/10 17:00 EDT,54B 35 SOW 251D,17.23
Southampton County,363906077000403,09/10 17:00 EDT,54B 40 SOW 251A,121.82
Southampton County,363906077000404,09/10 17:00 EDT,54B 41 SOW 251B,116.41
Southampton County,363906077000405,09/10 17:00 EDT,54B 42 SOW 251E,15.31
Southampton County,363906077000406,09/10 17:00 EDT,54B 43 SOW 251F,14.98
Southampton County,363906077000407,09/10 17:00 EDT,54B 44 SOW 251G,3.59
Southampton County,364642077041602,09/10 17:00 EDT,54C 10 SOW 221A,110.03
Southampton County,364642077041603,09/10 17:00 EDT,54C 11 SOW 221B,97.80
Southampton County,364642077041604,09/10 17:00 EDT,54C 12 SOW 221C,21.15
Southampton County,364642077041605,09/10 17:00 EDT,54C 13 SOW 221D,12.46
Surry County,370053076533901,09/10 17:15 EDT,55E  7 SOW 214A,128.82
Surry County,370053076533902,09/10 17:15 EDT,55E  8 SOW 214B,128.61
Surry County,370053076533903,09/10 17:15 EDT,55E  9 SOW 214C,128.60
Surry County,370712076413203,09/10 17:15 EDT,57E 13 SOW 094C,8.90
Surry County,371132076405501,09/10 17:45 EDT,57F 16 SOW 087A,86.66
Surry County,371132076405502,09/10 17:45 EDT,57F 24 SOW 087B,83.70
Sussex County,365454077014402,09/10 16:45 EDT,54D  7 SOW 242A,129.49
Sussex County,365454077014403,09/10 16:45 EDT,54D  8 SOW 242B,129.05
Sussex County,365454077014404,09/10 16:45 EDT,54D  9 SOW 242C,124.36
Sussex County,365454077014405,09/10 16:45 EDT,54D 10 SOW 242D,124.89
Sussex County,365454077014406,09/10 16:45 EDT,54D 11 SOW 242E,124.45
Sussex County,365454077014407,09/10 16:45 EDT,54D 12 SOW 242F,16.23
Sussex County,365454077014408,09/10 16:45 EDT,54D 13 SOW 242G,10.91
Sussex County,365530077104002,09/10 17:15 EDT,53D  6 SOW 179A,81.26
Sussex County,365530077104006,09/10 17:15 EDT,53D 10 SOW 179E,63.62
Sussex County,365530077104007,09/10 17:15 EDT,53D 11 SOW 179F,65.25
Sussex County,370235077114001,09/10 17:15 EDT,53E  6 SOW 239A,97.87
Sussex County,370235077114002,09/10 17:15 EDT,53E  7 SOW 239B,97.39
Sussex County,370235077114003,09/10 17:15 EDT,53E  8 SOW 239C,88.56
Sussex County,370235077114004,09/10 17:15 EDT,53E  9 SOW 239D,25.95
Westmoreland County,381110076550501,09/10 17:30 EDT,55P  5,82.32
Westmoreland County,381132076551001,09/10 17:15 EDT,55P  9,9.49
Wise County,370604082403901,09/10 17:00 EDT,09E 10 SOW 223,35.89
York County,370841076275204,09/10 17:15 EDT,59F 74 SOW 184C,12.57
York County,372156076431702,09/10 17:00 EDT,57G129 SOW 240A,133.68
York County,372156076431703,09/10 17:00 EDT,57G130 SOW 240B,133.37
Chesapeake city,364619076274201,09/10 17:15 EDT,59C 54 SOW 250A,116.60
Chesapeake city,364619076274303,09/10 17:15 EDT,59C 55 SOW 250B,111.94
Chesapeake city,364852076252202,09/10 17:00 EDT,59C 30 SOW 163B,89.69
Chesapeake city,364852076252203,09/10 17:00 EDT,59C 31 SOW 163C,90.47
Colonial Heights city,371644077244601,09/10 16:45 EDT,51G  1,15.33
Franklin city,364033076562602,09/10 16:45 EDT,55B 65 SOW 145B,121.53
Franklin city,364033076562603,09/10 16:45 EDT,55B 66 SOW 145C,136.99
Newport News city,365756076251201,09/10 17:00 EDT,59D 25 SOW 213,95.84
Newport News city,371040076351701,09/10 16:45 EDT,58F186 SOW 244,113.34
Newport News city,371208076341102,09/10 17:15 EDT,58F 51 SOW 171B,141.57
Newport News city,371208076341103,09/10 17:15 EDT,58F 52 SOW 171C,141.50
Newport News city,371208076341104,09/10 17:15 EDT,58F 53 SOW 171D,73.92
Newport News city,371208076341105,09/10 17:15 EDT,58F 54 SOW 171E,25.64
Newport News city,371208076341106,09/10 17:15 EDT,58F 55 SOW 171F,28.09
Roanoke city,371653079552101,09/10 17:15 EDT,31G  1 SOW 008,18.99
Suffolk city,363625076522602,09/10 17:30 EDT,56A 13 SOW 076B,179.24
Suffolk city,363928076332901,09/10 17:15 EDT,58B 13,8.30
Suffolk city,364010076351401,09/10 17:15 EDT,58B276 SOW 246,83.93
Suffolk city,364344076360202,09/10 17:15 EDT,58B 284 SOW 253A,119.47
Suffolk city,364512076343705,09/10 16:48 EDT,58C 56 SOW 162D,92.72
Suffolk city,365133076351202,09/10 17:30 EDT,58C 58 SOW 141B,136.39
Suffolk city,365133076351203,09/10 17:30 EDT,58C 59 SOW 141C,135.87
Suffolk city,365337076251601,09/10 17:06 EDT,59D 34,106.61
Suffolk city,365337076251602,09/10 17:06 EDT,59D 35,94.37
Suffolk city,365337076251603,09/10 17:06 EDT,59D 36,
Suffolk city,365337076251604,09/10 17:06 EDT,59D 37,59.64
Suffolk city,365337076251607,09/10 17:06 EDT,59D 40,15.28
Virginia Beach city,363337075595001,09/10 17:15 EDT,63A  1,13.86
Virginia Beach city,363337075595002,09/10 17:15 EDT,63A  2,5.84
Virginia Beach city,363714076063502,09/10 17:30 EDT,62A 23 SOW 209B,7.90
Virginia Beach city,364126076003501,09/10 17:15 EDT,62B  1 SOW 098A,3.63
Virginia Beach city,364126076013401,09/10 17:15 EDT,62B 18,7.69
Virginia Beach city,364325076011501,09/10 17:15 EDT,62B 22,9.22
Virginia Beach city,364352076005401,09/10 17:00 EDT,62B  9,6.47
Virginia Beach city,364410076002801,09/10 17:30 EDT,62B 23,13.77
Virginia Beach city,364504076031301,09/10 17:15 EDT,62C  5 SOW 093,5.77
Virginia Beach city,364558076074401,09/10 17:00 EDT,61C 44 SOW 210B,8.24
Virginia Beach city,364558076074501,09/10 17:00 EDT,61C 43 SOW 210A,8.42
Virginia Beach city,364713076030701,09/10 16:45 EDT,62C  2 SOW 092A,12.17
Virginia Beach city,364715076030801,09/10 16:45 EDT,62C  3 SOW 092B,8.99
Virginia Beach city,364745076004302,09/10 17:45 EDT,62C 10 SOW 172B,12.54
Virginia Beach city,364745076004303,09/10 17:45 EDT,62C 11 SOW 172C,7.82
Virginia Beach city,364745076004304,09/10 17:45 EDT,62C 12 SOW 172D,6.93
Virginia Beach city,364920076093201,09/10 16:45 EDT,61C 27 SOW 174A,7.59
Virginia Beach city,364920076093202,09/10 16:45 EDT,61C 28 SOW 174B,8.71
Virginia Beach city,365124075590701,09/10 16:45 EDT,63C 30,13.06
Virginia Beach city,365124075590702,09/10 16:45 EDT,63C 31,12.87
Virginia Beach city,365124075590703,09/10 16:45 EDT,63C 52,12.12
Virginia Beach city,365150076051101,09/10 17:15 EDT,62C 73,25.78
Virginia Beach city,365155076020201,09/10 17:30 EDT,62C 72,19.75
Virginia Beach city,365256076032001,09/10 16:45 EDT,62D 22,25.39
Virginia Beach city,365256076032002,09/10 16:45 EDT,62D 23,14.00
Virginia Beach city,365307076055301,09/10 17:00 EDT,62D 24,33.47
Virginia Beach city,365307076055302,09/10 17:00 EDT,62D 25,17.93
Virginia Beach city,365411076071601,09/10 17:15 EDT,62D 20,8.32
Virginia Beach city,365411076071602,09/10 17:15 EDT,62D 21,7.63
Williamsburg city,371614076415201,09/10 17:15 EDT,57G134 SOW 245,172.77
