Jurisdiction,station number,dates,site_name,water table depth
Accomack County,374425075400001,09/10 17:00 EDT,65K 27 SOW 114A,50.29
Accomack County,374425075400002,09/10 17:00 EDT,65K 28 SOW 114B,78.59
Accomack County,374425075400003,09/10 17:00 EDT,65K 29 SOW 114C,101.13
Accomack County,375635075271501,09/10 17:15 EDT,67M 10 SOW 115A,9.65
Accomack County,375635075271502,09/10 17:15 EDT,67M 11 SOW 115B,13.43
Accomack County,375635075271503,09/10 17:15 EDT,67M 12 SOW 115C,40.39
Accomack County,375635075271504,09/10 17:15 EDT,67M 13 SOW 115D,41.34
Accomack County,375635075271505,09/10 17:15 EDT,67M 62 SOW 115F,24.28
Accomack County,375723075344404,09/10 17:15 EDT,66M 19 SOW 110S,10.01
Appomattox County,372053078493801,09/10 17:00 EDT,40G  3 SOW 229,1.56
Augusta County,382523078535501,09/10 17:35 EDT,38P  1 SOW 070,21.93
Bath County,380252079472801,09/10 17:00 EDT,32N  2 SOW 217,8.87
Bedford County,372150079422301,09/10 17:00 EDT,33G  2 SOW 225,36.68
Bedford County,372224079423601,09/10 17:00 EDT,33G  1 SOW 224,11.13
Bedford County,372543079295402,09/10 16:45 EDT,35H 3 SOW 226A,15.14
Bedford County,372543079295403,09/10 16:45 EDT,35H 4 SOW 226B,10.02
Brunswick County,364218078015701,09/10 17:00 EDT,46B  3 SOW 220,20.74
Buchanan County,371841081584201,09/10 17:00 EDT,15G 19 SOW 222,22.01
Buckingham County,372608078404601,09/10 17:15 EDT,41H  3,25.98
Clarke County,390348078035501,09/10 16:45 EDT,46W175,44.23
Clarke County,390743077504501,09/10 17:15 EDT,48X 20,35.20
Clarke County,390948078001601,09/10 17:00 EDT,46X125,32.92
Craig County,372223080234801,09/10 17:15 EDT,27G  1 SOW 232,44.07
Cumberland County,373146078161201,09/10 17:45 EDT,44J  1 SOW 227,33.16
Fairfax County,385638077220101,09/10 17:15 EDT,52V  2D,16.43
Fauquier County,384957077481701,09/10 17:15 EDT,48U 26 SOW 215,24.79
Gloucester County,372621076404201,09/10 16:45 EDT,57H 20 SOW 192A,105.03
Gloucester County,372621076404202,09/10 16:45 EDT,57H 21 SOW 192B,98.01
Gloucester County,372621076404203,09/10 16:45 EDT,57H 22 SOW 192C,95.98
Gloucester County,372621076404301,09/10 16:45 EDT,57H 32 SOW 192D,41.85
Hanover County,373737077083201,09/10 17:15 EDT,53K 19 SOW 080,17.72
Hanover County,373924077223001,09/10 17:15 EDT,52K 23 SOW 236A,176.87
Hanover County,373924077223002,09/10 17:15 EDT,52K 24 SOW 236B,176.48
Hanover County,373924077223003,09/10 17:15 EDT,52K 25 SOW 236C,11.80
Isle of Wight County,363949076542602,09/10 16:45 EDT,55B 91 SOW 252A,107.36
Isle of Wight County,363949076542603,09/10 16:45 EDT,55B 92 SOW 252B,150.02
Isle of Wight County,363949076542604,09/10 16:45 EDT,55B 93 SOW 252C,142.38
Isle of Wight County,363949076542605,09/10 16:45 EDT,55B 94 SOW 252D,29.36
Isle of Wight County,363949076542606,09/10 16:45 EDT,55B 95 SOW 252E,29.30
Isle of Wight County,363949076542607,09/10 16:45 EDT,55B 96 SOW 252F,29.33
Isle of Wight County,363949076542608,09/10 16:45 EDT,55B 97 SOW 252G,22.01
Isle of Wight County,363949076542609,09/10 16:45 EDT,55B 98 SOW 252H,4.32
Isle of Wight County,364059076544901,09/10 17:00 EDT,55B 16,144.54
Isle of Wight County,365841076364403,09/10 17:00 EDT,58D 37 SOW 243A,125.77
Isle of Wight County,365841076364404,09/10 17:00 EDT,58D 38 SOW 243B,124.95
Isle of Wight County,365841076364405,09/10 17:00 EDT,58D 39 SOW 243C,125.14
Isle of Wight County,365841076364406,09/10 17:00 EDT,58D 40 SOW 243D,124.70
Isle of Wight County,365841076364407,09/10 17:00 EDT,58D 41 SOW 243E,79.54
Isle of Wight County,365841076364408,09/10 17:00 EDT,58D 42 SOW 243F,24.83
Isle of Wight County,365841076364409,09/10 17:00 EDT,58D 43 SOW 243G,24.47
James city County,372145076493201,09/10 17:15 EDT,56G 57,190.16
James city County,372546076532901,09/10 17:15 EDT,55H 20,122.16
King and Queen County,373008076425601,09/10 17:30 EDT,57J  3 SOW 074,161.94
King and Queen County,373126076454101,09/10 16:45 EDT,56J 11 SOW 073,128.54
King William County,373235076482201,09/10 16:45 EDT,56J 48 SOW 247G,12.16
King William County,373235076482302,09/10 16:45 EDT,56J 42 SOW 247A,173.09
King William County,373235076482303,09/10 16:45 EDT,56J 43 SOW 247B,178.90
King William County,373235076482304,09/10 16:45 EDT,56J 44 SOW 247C,184.09
King William County,373235076482305,09/10 16:45 EDT,56J 45 SOW 247D,160.23
